Round / Page,Location,English source,Draft Spanish,Register,Constraint,Notes
R78 — Landing page (casewhy.com/es),Hero subheadline,"CaseWhy checks your case with USCIS every day and explains what changed in plain English — citing the actual policy memo or court ruling behind it, and telling you plainly whether it applies to your case and what it means for you, not a generic explanation you're left to interpret yourself. When a case stalls, our escalation toolkit helps you draft a real congressional or USCIS Ombudsman inquiry. When that's not enough, we connect you to real help: free legal aid, accredited representatives, and attorneys — all free, no ads, ever.","CaseWhy revisa tu caso con USCIS todos los días y te explica qué cambió en español sencillo — citando el memorando de política o el fallo judicial real detrás del cambio, y diciéndote claramente si aplica a tu caso y qué significa para ti, no una explicación genérica que tienes que interpretar por tu cuenta. Cuando un caso se estanca, nuestro kit de herramientas de escalamiento te ayuda a redactar una solicitud real a tu representante en el Congreso o al Ombudsman de USCIS. Cuando eso no es suficiente, te conectamos con ayuda real: asistencia legal gratuita, representantes acreditados y abogados — todo gratis, sin anuncios, siempre.",tú,max-width 640px paragraph,"Pervasive 'tu'/'te'/'ti' throughout (round 77's hero copy, translated as-is)."
R78 — Landing page (casewhy.com/es),Waitlist email placeholder (hero + footer),you@email.com,tu@correo.com,tú,"Input placeholder, short","Playful 'tu@' domain pun — deliberately informal styling choice, not just a literal translation."
R78 — Landing page (casewhy.com/es),Waitlist submit button (hero),Notify me at launch,Avísame cuando esté listo,tú,"Button, keep short",Imperative 'Avísame' tú-form; usted = 'Avíseme.'
R78 — Landing page (casewhy.com/es),Waitlist form note,Built and tested. Opening the moment USCIS grants production access.,Construido y probado. Abrirá en cuanto USCIS otorgue acceso de producción.,neutral,,
R78 — Landing page (casewhy.com/es),Problem section H2,USCIS backlogs are the worst they've ever been,Los atrasos de USCIS son los peores que ha habido,neutral,,
R78 — Landing page (casewhy.com/es),Problem paragraph,"Over 12 million cases are sitting in the system right now, and the official status page gives you a vague label and nothing else. You're left refreshing a page, guessing what ""Case Is Being Actively Reviewed"" actually means, and searching forums at midnight for someone in your exact situation.","Ahora mismo hay más de 12 millones de casos en el sistema, y la página oficial de estado solo te da una etiqueta vaga y nada más. Te quedas actualizando la página una y otra vez, tratando de adivinar qué significa realmente ""Case Is Being Actively Reviewed"", y buscando en foros a medianoche a alguien en tu misma situación.",tú,,'te da' / 'Te quedas' / 'tu misma situación' informal.
R78 — Landing page (casewhy.com/es),Stat label 1,pending USCIS cases,casos pendientes en USCIS,neutral,"Stat card, short",
R78 — Landing page (casewhy.com/es),Stat label 2,"net backlog growth, year over year","crecimiento neto del atraso, año contra año",neutral,"Stat card, short",
R78 — Landing page (casewhy.com/es),Stat label 3,"status label, zero explanation","etiqueta de estado, cero explicación",neutral,"Stat card, short",
R78 — Landing page (casewhy.com/es),Source note,"Source: USCIS quarterly caseload data, Q2 FY2026 — re-verified Sep 5, 2026, not carried over unchecked.","Fuente: datos trimestrales de carga de casos de USCIS, T2 del año fiscal 2026 — reverificado el 5 de septiembre de 2026, no reutilizado sin revisar.",neutral,,
R78 — Landing page (casewhy.com/es),Features H2,What's already built,Lo que ya está construido,neutral,,
R78 — Landing page (casewhy.com/es),Features section note,"Not a mockup of the plan — this is what's actually running today, tested against USCIS's own sandbox environment.","No es una maqueta del plan — esto es lo que realmente funciona hoy, probado contra el propio entorno de pruebas de USCIS.",neutral,,
R78 — Landing page (casewhy.com/es),Feature 1 title,Daily automatic checks,Revisiones automáticas diarias,neutral,Card heading,
R78 — Landing page (casewhy.com/es),Feature 1 body,"We check your case with USCIS every day and notify you the moment anything changes — by email, and by push notification if you've enabled it — no refreshing, no guessing.","Revisamos tu caso con USCIS todos los días y te avisamos en el momento en que algo cambia — por correo electrónico, y con notificación push si la activaste — sin necesidad de actualizar la página ni adivinar.",tú,,'tu caso' / 'te avisamos' / 'la activaste' informal.
R78 — Landing page (casewhy.com/es),Feature 2 title,Explanations grounded in real policy,Explicaciones basadas en políticas reales,neutral,Card heading,
R78 — Landing page (casewhy.com/es),Feature 2 body,"When your status changes, CaseWhy explains what it actually means — and when a real USCIS policy memo, court ruling, or backlog might be why, it shows you the source, not just an AI's guess.","Cuando tu estado cambia, CaseWhy te explica qué significa realmente — y cuando un memorando de política, un fallo judicial o un atraso de USCIS pueden ser la razón, te muestra la fuente, no solo una suposición de la IA.",tú,,'tu estado' / 'te explica' / 'te muestra' informal.
R78 — Landing page (casewhy.com/es),Feature 3 title,Ask CaseWhy anything,Pregúntale a CaseWhy lo que sea,tú,Card heading,Imperative 'Pregúntale' tú-form; usted = 'Pregúntele a CaseWhy lo que sea.'
R78 — Landing page (casewhy.com/es),Feature 3 body,"Have a question about your case at 2am? Ask. CaseWhy answers using your case's real status and history, and always points you to a licensed attorney the moment a question needs real legal advice.","¿Tienes una pregunta sobre tu caso a las 2am? Pregunta. CaseWhy responde usando el estado real y el historial de tu caso, y siempre te dirige a un abogado con licencia en el momento en que una pregunta requiere asesoría legal real.",tú,,'¿Tienes...tu caso' / 'Pregunta' (tú-imperative) / 'te dirige' informal.
R78 — Landing page (casewhy.com/es),Feature 4 title,"Processing times and the Visa Bulletin, side by side","Tiempos de procesamiento y el Boletín de Visas, uno al lado del otro",neutral,"Card heading, wide card",
R78 — Landing page (casewhy.com/es),Feature 4 body,"Official USCIS processing-time ranges and the current Visa Bulletin, right next to your own case — not a separate tab you have to remember to check.","Los rangos oficiales de tiempo de procesamiento de USCIS y el Boletín de Visas actual, justo al lado de tu propio caso — no una pestaña aparte que tienes que recordar revisar.",tú,,'tu propio caso' / 'tienes que recordar' informal.
R78 — Landing page (casewhy.com/es),Feature 4 image alt (processing times),"A real screenshot of CaseWhy's processing times page, showing USCIS's published processing-time estimates by form type.","Una captura de pantalla real de la página de tiempos de procesamiento de CaseWhy, mostrando las estimaciones publicadas por USCIS según el tipo de formulario.",neutral,"Image alt text, accessibility only",
R78 — Landing page (casewhy.com/es),Feature 4 image alt (visa bulletin),"A real screenshot of CaseWhy's visa bulletin page, showing the current Final Action Dates table by category and country.","Una captura de pantalla real de la página del Boletín de Visas de CaseWhy, mostrando la tabla actual de Fechas de Acción Final por categoría y país.",neutral,"Image alt text, accessibility only",
R78 — Landing page (casewhy.com/es),Feature 5 title,"CaseWhy Plus, coming at launch","CaseWhy Plus, disponible desde el lanzamiento",neutral,Card heading,
R78 — Landing page (casewhy.com/es),Feature 5 body,"Unlimited case tracking for your whole family, unlimited questions, on-demand checks, a secure document vault, an escalation toolkit for stalled cases (representative lookup plus congressional, field-office, and USCIS Ombudsman letter templates), and an attorney-ready case report you can bring to a consultation.","Seguimiento ilimitado de casos para toda tu familia, preguntas ilimitadas, revisiones bajo demanda, una bóveda segura de documentos, un kit de herramientas de escalamiento para casos estancados (búsqueda de representante más plantillas de cartas para el Congreso, la oficina local y el Ombudsman de USCIS), y un reporte de caso listo para llevar a una consulta con un abogado.",tú,,'toda tu familia' informal.
R78 — Landing page (casewhy.com/es),Get Help H2,"More than a tracker — real help, free","Más que un rastreador — ayuda real, gratis",neutral,,
R78 — Landing page (casewhy.com/es),Get Help section note 1,"Other case trackers stop at a status update. CaseWhy connects you to real help — attorneys, accredited representatives, and free legal aid — built into the app.","Otros rastreadores de casos se detienen en una actualización de estado. CaseWhy te conecta con ayuda real — abogados, representantes acreditados y asistencia legal gratuita — integrados en la aplicación.",tú,,'te conecta' informal.
R78 — Landing page (casewhy.com/es),Get Help free line,"Free to use, always — no fees, no ads, ever.","Gratis para usar, siempre — sin cuotas, sin anuncios, nunca.",neutral,,
R78 — Landing page (casewhy.com/es),Get Help section note 2,"Not sure which one you need? Answer two quick questions and we'll point you to the right option — or just ask CaseWhy's AI directly, free, no sign-up required.","¿No estás seguro de cuál necesitas? Responde dos preguntas rápidas y te dirigiremos a la opción correcta — o simplemente pregúntale directamente a la IA de CaseWhy, gratis, sin necesidad de registrarte.",tú,,'¿No estás seguro...necesitas' / 'te dirigiremos' / 'pregúntale' / 'registrarte' all informal.
R78 — Landing page (casewhy.com/es),Get Help card: Attorneys (title/badge/body),"Attorneys / Live / Board-certified immigration attorneys, sourced from official state bar records — free to browse, free to be listed.","Abogados / Activo / Abogados de inmigración certificados, obtenidos de registros oficiales de colegios de abogados estatales — gratis para explorar, gratis para aparecer en la lista.",neutral,"Card, 2-3 lines",
R78 — Landing page (casewhy.com/es),Get Help card: Accredited representatives,"Accredited representatives / Live, nationwide / DOJ-accredited representatives in all 50 states, sourced directly from official government records.","Representantes acreditados / Activo, a nivel nacional / Representantes acreditados por el DOJ en los 50 estados, obtenidos directamente de registros oficiales del gobierno.",neutral,"Card, 2-3 lines",
R78 — Landing page (casewhy.com/es),Get Help card: Legal aid,"Legal aid & nonprofit organizations / Live, nationwide / Free and low-cost legal help for those who need it most, sourced from official nonprofit records.","Asistencia legal y organizaciones sin fines de lucro / Activo, a nivel nacional / Ayuda legal gratuita y de bajo costo para quienes más la necesitan, obtenida de registros oficiales de organizaciones sin fines de lucro.",neutral,"Card, 2-3 lines",
R78 — Landing page (casewhy.com/es),Get Help card: Pro bono representation,"Pro bono immigration-court representation / Live, nationwide / Free representation in immigration court proceedings, organized by court, sourced from EOIR's own list.","Representación gratuita en la corte de inmigración / Activo, a nivel nacional / Representación gratuita en procesos ante la corte de inmigración, organizada por corte, obtenida directamente de la lista de EOIR.",neutral,"Card, 2-3 lines",
R78 — Landing page (casewhy.com/es),Get Help card: DSO,"University international student offices / Live, nationwide / Find your school's international student office, sourced from DHS's own certified school directory.","Oficinas internacionales de universidades / Activo, a nivel nacional / Encuentra la oficina de estudiantes internacionales de tu escuela, obtenida del propio directorio de escuelas certificadas del DHS.",tú,"Card, 2-3 lines",Imperative 'Encuentra' + 'tu escuela' informal; usted = 'Encuentre la oficina...de su escuela.'
R78 — Landing page (casewhy.com/es),Get Help card: Community orgs,"Community & cultural organizations / Live, nationwide / Local, trusted organizations that understand your community, sourced from official USCIS grant records.","Organizaciones comunitarias y culturales / Activo, a nivel nacional / Organizaciones locales y de confianza que entienden tu comunidad, obtenidas de registros oficiales de subvenciones de USCIS.",tú,"Card, 2-3 lines",'tu comunidad' informal.
R78 — Landing page (casewhy.com/es),Get Help card: Employers (coming soon),For employers / Coming soon / Sponsoring or relocating employees? We can help.,Para empleadores / Próximamente / ¿Patrocinando o reubicando empleados? Podemos ayudar.,neutral,"Card, 2-3 lines",
R78 — Landing page (casewhy.com/es),Get Help CTA buttons,Explore Get Help → / Ask a free question →,Explorar Obtener Ayuda → / Hacer una pregunta gratis →,neutral,"Buttons, keep short",
R78 — Landing page (casewhy.com/es),Trust H2,Built to be trusted with something this personal,Construido para que confíes algo tan personal,tú,,Subjunctive 'confíes' tú-form; usted = 'confíe.'
R78 — Landing page (casewhy.com/es),Trust item 1,Official data only. Case status comes from USCIS's own systems — we don't scrape or guess.,Solo datos oficiales. El estado del caso proviene de los propios sistemas de USCIS — no extraemos datos de forma no oficial ni adivinamos.,neutral,,
R78 — Landing page (casewhy.com/es),Trust item 2,"Encrypted at rest with AES-256, the same standard used for banking data — and minimal by design: we only ever store what's needed to track your case.","Cifrado en reposo con AES-256, el mismo estándar usado para datos bancarios — y mínimo por diseño: solo almacenamos lo necesario para monitorear tu caso.",tú,,'tu caso' informal.
R78 — Landing page (casewhy.com/es),Trust item 3,"No hallucinated citations. Every policy or case-law reference CaseWhy shows you is matched against your case's actual facts by code, not invented by the AI or presented as more certain than it is.","Sin citas inventadas por la IA. Cada referencia a una política o caso legal que CaseWhy te muestra se compara con los hechos reales de tu caso mediante código, no inventada por la IA ni presentada con más certeza de la que tiene.",tú,,'te muestra' / 'tu caso' informal.
R78 — Landing page (casewhy.com/es),Trust item 4,"Your data isn't for sale. We don't sell or rent your information to anyone, ever.",Tus datos no están a la venta. Nunca vendemos ni alquilamos tu información a nadie.,tú,,'Tus datos' / 'tu información' informal possessives; usted = 'Sus datos... su información.'
R78 — Landing page (casewhy.com/es),Disclaimer box,"CaseWhy is not a law firm and does not give legal advice. Everything CaseWhy tells you is general, informational guidance drawn from public USCIS process information. For anything specific to your case, we'll always point you toward a licensed immigration attorney.","CaseWhy no es un despacho de abogados y no brinda asesoría legal. Todo lo que CaseWhy te dice es orientación general e informativa basada en información pública de los procesos de USCIS. Para algo específico a tu caso, siempre te dirigiremos hacia un abogado de inmigración con licencia.",tú,,'te dice' / 'tu caso' / 'te dirigiremos' informal.
R78 — Landing page (casewhy.com/es),Founder note H2,Why I built this,Por qué construí esto,neutral,"1st person, no reader address",
R78 — Landing page (casewhy.com/es),Founder note body,"I built CaseWhy because I lived this. My wife's, my daughter's, and my own naturalization cases sat in months of unexplained silence after our interviews — just a status label that hadn't moved. It took an email to my congressional representative's office to learn why: a USCIS policy memo, later struck down in court, had quietly paused cases like ours. Nobody at USCIS was going to volunteer that. CaseWhy exists so the next person doesn't have to fight as hard just to find out why.","Construí CaseWhy porque yo viví esto. Los casos de naturalización de mi esposa, mi hija y el mío propio estuvieron meses en un silencio sin explicación después de nuestras entrevistas — solo una etiqueta de estado que no se movía. Tuve que escribirle a la oficina de mi representante en el Congreso para saber por qué: un memorando de política de USCIS, luego anulado por un tribunal, había pausado silenciosamente casos como el nuestro. Nadie en USCIS iba a decírtelo por voluntad propia. CaseWhy existe para que la próxima persona no tenga que luchar tanto solo para saber por qué.",neutral,1st person narrative,"One stray informal 'decírtelo' (told you) appears mid-paragraph even though the rest is 1st-person narrative with no reader address — worth a look during review since it's arguably an inconsistency within this single paragraph, not just across pages."
R78 — Landing page (casewhy.com/es),Founder sign-off,"— Peter, founder of CaseWhy","— Peter, fundador de CaseWhy",neutral,,
R78 — Landing page (casewhy.com/es),CTA H2,Be first to try CaseWhy,Sé de los primeros en probar CaseWhy,tú,,Imperative 'Sé' (ser) tú-form; usted = 'Sea de los primeros...'
R78 — Landing page (casewhy.com/es),CTA body,"We're building this in the open — daily case checks, policy-grounded explanations, processing times, and visa bulletin tracking are already working. Join the list and you'll be first to know the moment real-case tracking opens up.","Estamos construyendo esto de forma abierta — las revisiones diarias de casos, las explicaciones basadas en políticas, los tiempos de procesamiento y el seguimiento del Boletín de Visas ya están funcionando. Únete a la lista y serás de los primeros en saber en cuanto se abra el seguimiento de casos reales.",tú,,'Únete' (imperative) / 'serás' (future) tú-forms.
R78 — Landing page (casewhy.com/es),Footer CTA form (repeat of hero form),you@email.com / Notify me,tu@correo.com / Avísame,tú,"Button, short",Same as hero form fields.
R78 — Landing page (casewhy.com/es),Footer copyright,© 2026 CaseWhy. Not affiliated with or endorsed by USCIS or DHS.,© 2026 CaseWhy. No afiliado ni respaldado por USCIS o DHS.,neutral,,
R78 — Landing page (casewhy.com/es),Footer link: Privacy Policy,Privacy Policy,Política de Privacidad (en inglés),neutral,Destination page stays English,'(en inglés)' caveat added since privacy.html itself is not translated.
R78 — Landing page (casewhy.com/es),Footer link: Terms of Service,Terms of Service,Términos de Servicio (en inglés),neutral,Destination page stays English,Same caveat pattern.
R78 — Landing page (casewhy.com/es),Footer link: Contact,Contact,Contacto,neutral,,
R78 — Landing page (casewhy.com/es),Footer link: Get Help,Get Help,Obtener Ayuda,neutral,,
R78 — Landing page (casewhy.com/es),Footer link: FAQ,FAQ,Preguntas Frecuentes (en inglés),neutral,Destination page stays English,Same caveat pattern.
R78 — Landing page (casewhy.com/es),Footer link: Site Index,Site Index,Índice del Sitio,neutral,,
R78 — Landing page (casewhy.com/es),Share widget trigger label,Share / Share CaseWhy,Compartir / Compartir CaseWhy,neutral,"Button, short",
R78 — Landing page (casewhy.com/es),Share menu: Share on X,Share on X,Compartir en X,neutral,"aria-label / title, icon button",
R78 — Landing page (casewhy.com/es),Share menu: Share on Facebook,Share on Facebook,Compartir en Facebook,neutral,"aria-label / title, icon button",
R78 — Landing page (casewhy.com/es),Share menu: Share on LinkedIn,Share on LinkedIn,Compartir en LinkedIn,neutral,"aria-label / title, icon button",
R78 — Landing page (casewhy.com/es),Share menu: Share on WhatsApp,Share on WhatsApp,Compartir en WhatsApp,neutral,"aria-label / title, icon button",
R78 — Landing page (casewhy.com/es),Share menu: Share via email,(implicit — email icon aria-label not present in EN source shown; ES uses 'Compartir por correo'),Compartir por correo,neutral,"aria-label / title, icon button",English source for this specific icon's aria-label wasn't visible in the grepped EN script excerpt — flagging for a direct diff check against index.html's email icon label rather than assumed.
R78 — Landing page (casewhy.com/es),Share menu: Copy link,Copy link,Copiar enlace,neutral,"aria-label / title, icon button",
R78 — Landing page (casewhy.com/es),Share menu: Copied confirmation,Copied!,¡Copiado!,neutral,Transient inline label,
R79 — /plus,Metadata title,CaseWhy Plus — Pricing & Features | CaseWhy,CaseWhy Plus — Precios y Funciones | CaseWhy,neutral,SEO title tag,
R79 — /plus,Metadata description,"Compare CaseWhy's free and Plus tiers — multiple tracked cases, faster notifications, and unlimited AI questions about your case.","Compara los niveles gratuito y Plus de CaseWhy — múltiples casos rastreados, notificaciones más rápidas y preguntas ilimitadas de IA sobre tu caso.",tú,SEO meta description,'Compara' imperative + 'tu caso' informal; usted = 'Compare...sobre su caso.'
R79 — /plus,Checkout success banner,You're subscribed to CaseWhy Plus. It may take a few seconds for every feature to unlock.,Estás suscrito a CaseWhy Plus. Puede tardar unos segundos en desbloquearse cada función.,tú,Inline banner,'Estás' informal.
R79 — /plus,Checkout cancelled banner,Checkout was cancelled — no charge was made.,El pago fue cancelado — no se realizó ningún cargo.,neutral,Inline banner,
R79 — /plus,H1,CaseWhy Plus,CaseWhy Plus,neutral,"Product name, untranslated",
R79 — /plus,Subheadline,"Unlimited, cited AI chat about your case — plus the escalation toolkit for when it stalls. For you and your whole family.",Chat de IA ilimitado y con citas sobre tu caso — más el kit de herramientas de escalamiento para cuando se estanca. Para ti y toda tu familia.,tú,,'tu caso' / 'Para ti' / 'toda tu familia' informal.
R79 — /plus,Subscription cancel-scheduled banner,Your subscription is set to cancel on {date}. You'll keep full access until then.,Tu suscripción está programada para cancelarse el {date}. Mantendrás acceso completo hasta entonces.,tú,Inline banner,'Tu suscripción' / 'Mantendrás' informal.
R79 — /plus,Payment past-due banner,Your last payment didn't go through. Update your payment method to keep your subscription active.,Tu último pago no se completó. Actualiza tu método de pago para mantener tu suscripción activa.,tú,Inline banner,Imperative 'Actualiza' + 'tu método de pago' / 'tu suscripción' informal.
R79 — /plus,Manage subscription button,Manage subscription,Administrar suscripción,neutral,"Button, short","Infinitive-style label, register-neutral."
R79 — /plus,Plan card labels,Monthly / Quarterly / Annual,Mensual / Trimestral / Anual,neutral,"Card heading, short",
R79 — /plus,Plan card per-month equivalent,$X / month equivalent,$X / mes equivalente,neutral,Small print under price,
R79 — /plus,Subscribe button,Subscribe,Suscribirse,neutral,"Button, short","Infinitive, register-neutral."
R79 — /plus,Sign in to subscribe link,Sign in to subscribe,Inicia sesión para suscribirte,tú,"Button, short",Imperative 'Inicia' + reflexive 'suscribirte' tú-forms; usted = 'Inicie sesión para suscribirse.'
R79 — /plus,No refunds note,"No refunds, no proration — cancel anytime and you'll keep access through the end of your current billing period.","Sin reembolsos, sin prorrateo — cancela cuando quieras y mantendrás el acceso hasta el final de tu período de facturación actual.",tú,,'cancela' imperative / 'quieras' / 'mantendrás' / 'tu período' informal.
R79 — /plus,Highlight box 1 title,"Unlimited questions, actually grounded","Preguntas ilimitadas, realmente fundamentadas",neutral,,
R79 — /plus,Highlight box 1 body,"Ask as many questions as you need, the moment your case changes. Every answer cites CaseWhy's own USCIS policy knowledge base — not a generic chatbot guessing.","Haz todas las preguntas que necesites, en el momento en que tu caso cambie. Cada respuesta cita la propia base de conocimiento de políticas de USCIS de CaseWhy — no un chatbot genérico adivinando.",tú,,'Haz' imperative / 'necesites' subjunctive / 'tu caso' informal.
R79 — /plus,See how it works link (x2),See how it works →,Ver cómo funciona →,neutral,"Link, short",
R79 — /plus,Highlight box 2 title,A real escalation toolkit,Un kit de herramientas de escalamiento real,neutral,,
R79 — /plus,Highlight box 2 body,"When a case stalls, find your real congressional representative and draft a real escalation letter — pre-filled with your case's details, not a blank page.","Cuando un caso se estanca, encuentra a tu representante real en el Congreso y redacta una carta de escalamiento real — prellenada con los detalles de tu caso, no una página en blanco.",tú,,'encuentra' / 'redacta' imperatives + 'tu representante' / 'tu caso' informal.
R79 — /plus,Comparison table headers,Free / Plus,Gratis / Plus,neutral,"Table column headers, short",
R79 — /plus,Feature title: ai-chat,AI chat about your case,Chat con IA sobre tu caso,tú,Table row label,'tu caso' informal.
R79 — /plus,Feature title: tracked-cases,Tracked cases (family),Casos rastreados (familia),neutral,Table row label,
R79 — /plus,Feature title: on-demand-checks,On-demand status checks,Revisiones de estado bajo demanda,neutral,Table row label,
R79 — /plus,Feature title: document-vault,Secure document vault,Bóveda segura de documentos,neutral,Table row label,
R79 — /plus,Feature title: stalled-case-alert,Stalled-case alert,Alerta de caso estancado,neutral,Table row label,
R79 — /plus,Feature title: representative-lookup,Representative lookup,Búsqueda de representante,neutral,Table row label,
R79 — /plus,Feature title: escalation-letters,Escalation letter drafting,Redacción de cartas de escalamiento,neutral,Table row label,
R79 — /plus,Feature title: pdf-report,Attorney-handoff PDF report,Reporte en PDF para el abogado,neutral,Table row label,
R79 — /plus,Feature explanation: ai-chat,"Your status just changed to ""Request for Evidence"" and you don't know what that means, whether your timeline just reset, or what USCIS actually wants — that's exactly what the chat is for. Ask in plain English and get an answer grounded in CaseWhy's own curated policy and case-law knowledge base, with visible citations you can check yourself, instead of a generic chatbot guessing from general training data. On the free tier, 3 questions a month runs out fast — one real update to your case can easily produce three follow-up questions in a single evening, and then you're locked out until next month right when you need it most. Plus removes the limit entirely, so you can ask a question the moment you're anxious about one, not ration them.","Tu estado acaba de cambiar a ""Solicitud de Evidencia"" y no sabes qué significa, si tu cronograma se reinició, o qué es lo que USCIS realmente quiere — para eso es exactamente el chat. Pregunta en lenguaje sencillo y obtén una respuesta basada en la propia base de conocimiento de políticas y jurisprudencia de CaseWhy, con citas visibles que puedes verificar tú mismo, en lugar de un chatbot genérico adivinando a partir de datos de entrenamiento generales. En el nivel gratuito, 3 preguntas al mes se agotan rápido — una sola actualización real de tu caso puede fácilmente generar tres preguntas de seguimiento en una sola noche, y luego quedas bloqueado hasta el próximo mes justo cuando más lo necesitas. Plus elimina el límite por completo, para que puedas hacer una pregunta en el momento en que te preocupe, sin tener que racionarlas.",tú,Long-form explanation paragraph,'Tu estado' / 'no sabes' / 'Pregunta' / 'obtén' (imperatives) / 'puedes' / 'te preocupe' pervasive tú.
R79 — /plus,Feature explanation: tracked-cases,"A free account tracks up to 3 cases — fine for most people, but bigger or more complex households need more: a spouse's I-485 alongside your own, kids' derivative cases, or parents you're helping through an N-400 you understand better than they do. Plus is unlimited case tracking for your family — no fixed cap — so the whole household lives under a single login instead of everyone creating separate accounts (and separate subscriptions) just to see their own status. Each case gets its own full CaseWhy experience — its own status history, its own AI explanations, its own document vault — switched between with a single click, not re-entered from scratch every time. Tracking more than 10 cases at once is uncommon enough that we ask for a quick, one-time check before it kicks in — most households never see this step, and it's a review, not a denial.","Una cuenta gratuita rastrea hasta 3 casos — suficiente para la mayoría de las personas, pero los hogares más grandes o complejos necesitan más: el I-485 de tu cónyuge junto al tuyo, los casos derivados de tus hijos, o los padres a quienes ayudas con un N-400 que entiendes mejor que ellos. Plus ofrece seguimiento ilimitado de casos para tu familia — sin límite fijo — para que todo el hogar viva bajo un solo inicio de sesión en lugar de que cada quien cree cuentas separadas (y suscripciones separadas) solo para ver su propio estado. Cada caso obtiene su propia experiencia completa de CaseWhy — su propio historial de estado, sus propias explicaciones de IA, su propia bóveda de documentos — y puedes cambiar entre ellos con un solo clic, sin tener que volver a ingresarlos desde cero. Rastrear más de 10 casos a la vez es lo suficientemente inusual como para que pidamos una revisión rápida y única antes de que se active — la mayoría de los hogares nunca ven este paso, y es una revisión, no un rechazo.",tú,Long-form explanation paragraph,'tu cónyuge' / 'tus hijos' / 'ayudas' / 'entiendes' / 'tu familia' / 'puedes' pervasive tú.
R79 — /plus,Feature explanation: on-demand-checks,"Every account, free or Plus, gets an automatic status check once a day. Most days that's plenty — but the day your case might actually have moved isn't most days. Plus adds a real ""Check now"" button right on the dashboard for exactly that moment: you heard something changed, or it's just been quiet too long and you want to know right now instead of waiting for tomorrow's scheduled check. It calls USCIS directly, the same way the daily check does, just on your schedule instead of a fixed one.","Cada cuenta, gratuita o Plus, recibe una revisión automática de estado una vez al día. La mayoría de los días eso es suficiente — pero el día en que tu caso realmente pudo haber avanzado no es la mayoría de los días. Plus agrega un botón real de ""Revisar ahora"" directamente en el panel para exactamente ese momento: escuchaste que algo cambió, o simplemente ha estado en silencio demasiado tiempo y quieres saberlo ahora mismo en lugar de esperar la revisión programada de mañana. Consulta a USCIS directamente, de la misma forma que lo hace la revisión diaria, solo que según tu propio horario en lugar de uno fijo.",tú,Long-form explanation paragraph,'tu caso' / 'escuchaste' / 'quieres' / 'tu propio horario' pervasive tú.
